J23103,J23113,J23109,J23117,J23114,J23115,J23116,J23105,J23110,J23107,J23106,J23108,J23118,J23111,J23101,J23104,J23102,J23100
130.852062422194,115.818425457385,129.143773498323,396.250541493414,378.351532778403,441.917131278727,676.005081688697,508.036272800524,527.032434149554,746.784492862043,479.672012213319,1211.78818551079,544.901539728838,949.979237405904,1742.30713570103,1271.29827948827,864.862146579487,646.269326187973
214.455772553307,183.608338567766,206.105890610386,649.422060513301,620.087056762798,724.265846778476,1107.91675239901,832.629683871603,863.76283058892,1223.91838831571,786.142992683613,1986.02121116135,893.048825558396,1556.93786934862,2855.49815490359,2083.55336267977,1417.43795522596,1059.18229380264
160.756681704507,141.447894284616,154.497585491861,486.808698273074,464.81909265615,542.911821928561,830.497676047533,624.141674874247,647.479173780001,917.452845592467,589.295113600426,1488.7273767448,669.432042269646,1167.08523401652,2140.48986665323,1561.83776613153,1062.51568559437,793.966181672997
159.475081875972,136.536100089949,153.26588503017,482.927715301661,461.11341732663,538.583568256516,823.876702860381,619.165832781596,642.317278241366,910.138640066867,584.597078604064,1476.85880163775,664.095131968365,1157.78088523337,2123.42524814408,1549.38633336961,1054.04499618952,787.636448367324
192.541718668186,164.84641401229,185.045065158583,583.061198043455,556.723776709387,650.257110130873,994.704843373509,747.547843725855,775.49966570356,1098.85291120959,705.811371398872,1783.08064528051,801.793086193927,1397.84296619693,2563.7105303953,1870.64652357411,1272.59777974448,950.95029060587
270.410778834988,231.514746567927,259.882276605914,818.866860449623,781.877876115668,913.23861036321,1396.99029004257,1049.87633867904,1089.13263078617,1543.25864337668,991.260512115166,2504.20651353397,1126.05981914938,1963.16833459728,3600.54416272437,2627.18639297271,1787.27061929589,1335.54021691913
203.677722862582,174.380609357432,195.747486618264,616.783614109508,588.922919603919,687.865925279824,1052.23542627581,790.783647274431,820.352114252179,1162.40708904126,746.633269358012,1886.20839173534,848.166263044397,1478.68978340802,2711.98744106783,1978.83880354774,1346.20081139414,1005.95024852719
166.988775704157,142.969020145561,160.48703156213,505.68093136048,482.838849269379,563.959018672767,862.693784655533,648.337929397998,672.580158890098,953.019966743233,612.140462873331,1546.44123879616,695.384079656629,1212.32991564888,2223.47076618936,1622.38591671247,1103.70649370584,824.74606481232
193.716465877262,165.852184949241,186.174073330692,586.618606379995,560.120493573864,654.224498240794,1000.77379687974,752.108827958998,780.231191287865,1105.55729922252,710.117710536281,1793.95968503402,806.68503478968,1406.37157046318,2579.35239653887,1882.05982557399,1280.36223048467,956.752286181615
186.285136319337,159.489781842834,179.032084198296,564.114808527404,538.633213382968,629.127210670126,962.382223587974,723.256512598624,750.300048947564,1063.14603284676,682.876253760698,1725.14000275897,775.739073041821,1352.42050040995,2480.40356625798,1809.86045548827,1231.24511674237,920.049461196059
