Name,sfGFP/OD600,Error,Unnamed: 3
ML508,20063.969592298752,139.59984439955042,
ML3423,20040.19502463725,8.222107578749274,
ML2504,20034.1428916433,161.22985899939886,
ML1909,20027.12546682485,108.27105155034951,
ML3308,20023.8090764224,184.29607144180045,
ML978,20022.76070926205,560.3185590306493,
ML1762,19979.9347008588,295.1369323790004,
ML156,19971.60843794865,445.7828663991495,
ML1816,19946.24068689975,21.48523167024905,
ML2872,19922.10823550705,597.184948769951,
ML1856,19917.38640630865,82.61359369135062,
ML3270,19860.6713109563,226.39619588460118,
ML254,19841.194999158448,430.53082703495056,
ML3072,19826.200411697602,302.14183429170043,
ML2742,19823.4682771284,76.13731627430025,
ML117,19807.512706719353,65.17825683535011,
ML912,19792.44204063715,96.38508554405053,
ML324,19780.10733217,448.46409640139973,
ML2760,19761.4842935397,188.18013599050028,
ML3424,19758.244494095103,69.44781359720037,
ML561,19731.395252517752,151.04236744385162,
ML2051,19720.0513695049,124.66147249660025,
ML551,19644.32936904055,176.21679480864987,
ML2620,19616.6916445718,369.3585746389999,
ML942,19601.289701608148,277.33826672955,
ML276,19598.1701181662,428.61994515580045,
ML3387,19594.805661142796,138.1167836441,
ML2469,19557.6485127069,385.63506938270075,
ML2193,19496.62316175915,337.8287398068496,
ML2622,19493.4074014257,458.90867486860043,
ML2475,19477.16827468335,237.23401009834924,
ML3040,19466.681839445002,215.88172306439992,
ML588,19459.225160124603,813.1825727400992,
ML2068,19457.15518077985,203.3778141440489,
ML540,19445.61461580245,201.69954589044937,
ML2537,19420.34995752415,194.30916400645037,
ML499,19395.92573822425,328.42777129555,
ML1875,19385.86781390645,28.157162078150577,
ML1700,19349.33144439845,48.6883575817501,
ML1359,19345.75333272385,640.653554453349,
ML2737,19322.34644129585,1174.9892603027492,
ML376,19274.85013700335,11.482042927449584,
ML3087,19253.230248169202,368.87650667259913,
ML709,19234.7261539576,356.96608111440037,
ML1213,19231.42215551245,793.6824469980493,
ML3534,19219.9062465173,810.1840242951002,
ML1621,19207.07749799185,965.4507037334497,
ML2782,19204.47523474945,157.3338104766499,
ML2323,19154.086057692548,390.5330968918515,
ML2148,19136.113837862547,2179.2221759226563,
ML303,19066.4198941148,729.4984732321009,
ML2804,19058.15574320515,53.24575957174966,
ML1251,19034.564054455,350.5673038456989,
ML16,19026.71439697575,178.7881296946507,
ML178,19002.9819466148,169.99593887439914,
ML2791,18992.5503694301,145.92080851480023,
ML169,18979.01379738415,17.3476337862503,
ML1607,18959.96315010985,49.70673985345093,
ML2921,18932.66410969915,200.360377395451,
ML2644,18893.5826880557,352.1438076708,
ML1076,18875.619483299597,233.64417465760016,
ML882,18872.7406060934,63.618984471799195,
ML2953,18864.6726386797,242.78898216999914,
ML367,18860.462453840148,243.40719992765116,
ML1303,18853.4030726737,46.30481437599883,
ML2955,18839.6712858524,325.6525942635999,
ML220,18836.844898257048,255.20008300075096,
ML2910,18829.77535442205,190.3414528459507,
ML3085,18821.634510971948,138.19635583564923,
ML511,18817.85600431805,321.3983816468499,
ML93,18787.5389354428,578.0612833156993,
ML2704,18787.266031300453,168.5052739854491,
ML1324,18755.5646944865,493.3848853454001,
ML37,18726.78258895415,400.6767780261507,
ML721,18725.997366398602,154.28851805639897,
ML2990,18723.6062571279,14.103017387100408,
ML1512,18651.9796123697,778.5288622066,
ML745,18646.2898197247,50.00211670849967,
ML843,18619.321948270248,320.5309292719485,
ML3310,18619.101282538948,512.0516741838492,
ML306,18581.0595684031,228.9613084236007,
ML2470,18552.1841256138,475.34695786749944,
ML554,18533.93041736575,168.11332591145037,
ML1878,18472.593582887697,364.30481283419977,
ML3426,18466.8038033908,16.002888058999815,
ML935,18448.2307076421,1874.3499375192077,
ML3571,18442.21014492755,532.7898550724494,
ML585,18431.4722115261,1816.1468360928993,
ML2826,18427.4219846294,273.7664703791015,
ML925,18409.0340802578,841.8654944887003,
ML2217,18408.57271689105,913.1431008033505,
ML615,18386.81672143385,162.5176560132495,
ML972,18383.7552502649,357.3868922945003,
ML84,18377.01833995085,218.10361126864882,
ML855,18320.12083253905,3.925459788450098,
ML1783,18306.0094976559,19.446275470399996,
ML1748,18297.84899779105,131.0323161228498,
ML2534,18288.1361384546,510.35836067680066,
ML2762,18287.9104963281,2862.5319815480025,
ML1234,18277.958453216248,1687.3042476087485,
ML3401,18251.917983856452,100.82026538895117,
